level,setting,identifier,record_count,even_share,vs_even
physical_partition,2,0,684375,696785.0,0.982
physical_partition,2,1,709195,696785.0,1.018
physical_partition,4,0,336530,348392.5,0.966
physical_partition,4,1,342735,348392.5,0.984
physical_partition,4,2,347845,348392.5,0.998
physical_partition,4,3,366460,348392.5,1.052
physical_partition,8,0,165710,174196.2,0.951
physical_partition,8,1,167535,174196.2,0.962
physical_partition,8,2,174105,174196.2,0.999
physical_partition,8,3,187245,174196.2,1.075
physical_partition,8,4,170820,174196.2,0.981
physical_partition,8,5,175200,174196.2,1.006
physical_partition,8,6,173740,174196.2,0.997
physical_partition,8,7,179215,174196.2,1.029
partition_key,listing_id,241032,365,365.0,1.0
partition_key,listing_id,953595,365,365.0,1.0
partition_key,listing_id,3308979,365,365.0,1.0
partition_key,listing_id,7421966,365,365.0,1.0
partition_key,listing_id,278830,365,365.0,1.0
partition_key,listing_id,5956968,365,365.0,1.0
partition_key,listing_id,1909058,365,365.0,1.0
partition_key,listing_id,856550,365,365.0,1.0
partition_key,listing_id,4948745,365,365.0,1.0
partition_key,listing_id,2493658,365,365.0,1.0
partition_key,listing_id,175576,365,365.0,1.0
partition_key,listing_id,4454295,365,365.0,1.0
partition_key,listing_id,3883392,365,365.0,1.0
partition_key,listing_id,8889257,365,365.0,1.0
partition_key,listing_id,5680462,365,365.0,1.0
partition_key,listing_id,8988178,365,365.0,1.0
partition_key,listing_id,3245876,365,365.0,1.0
partition_key,listing_id,4933447,365,365.0,1.0
partition_key,listing_id,7735464,365,365.0,1.0
partition_key,listing_id,6291829,365,365.0,1.0
partition_key,listing_id,9218403,365,365.0,1.0
partition_key,listing_id,4125779,365,365.0,1.0
partition_key,listing_id,8942678,365,365.0,1.0
partition_key,listing_id,10106055,365,365.0,1.0
partition_key,listing_id,6362362,365,365.0,1.0
partition_key,listing_id,3544550,365,365.0,1.0
partition_key,listing_id,9025039,365,365.0,1.0
partition_key,listing_id,3200646,365,365.0,1.0
partition_key,listing_id,8859380,365,365.0,1.0
partition_key,listing_id,4520099,365,365.0,1.0
partition_key,listing_id,2481869,365,365.0,1.0
partition_key,listing_id,1110749,365,365.0,1.0
partition_key,listing_id,5978498,365,365.0,1.0
partition_key,listing_id,5021081,365,365.0,1.0
partition_key,listing_id,1686930,365,365.0,1.0
partition_key,listing_id,7680289,365,365.0,1.0
partition_key,listing_id,7207641,365,365.0,1.0
partition_key,listing_id,5062445,365,365.0,1.0
partition_key,listing_id,8925878,365,365.0,1.0
partition_key,listing_id,6389657,365,365.0,1.0
partition_key,listing_id,4218733,365,365.0,1.0
partition_key,listing_id,2715623,365,365.0,1.0
partition_key,listing_id,1392332,365,365.0,1.0
partition_key,listing_id,7308567,365,365.0,1.0
partition_key,listing_id,6575380,365,365.0,1.0
partition_key,listing_id,6004058,365,365.0,1.0
partition_key,listing_id,9550869,365,365.0,1.0
partition_key,listing_id,8515408,365,365.0,1.0
partition_key,listing_id,5383192,365,365.0,1.0
partition_key,listing_id,1112092,365,365.0,1.0
partition_key,listing_id,7772661,365,365.0,1.0
partition_key,listing_id,9254900,365,365.0,1.0
